ccode,cnumber,description,
WMHS,681,"Seminar. (1-0). Credit 1. Presentations on important developments and current research in hydrological sciences and water management; seminars presented by faculty, graduate students, visiting scholars and water professionals. May be repeated 3 times for credit. Prerequisite: Approval of instructor.",
WMHS,685,"Directed Studies.  Credit 1 to 4 each semester. Special topics in water not within scope of thesis research and not covered by other formal courses. Prerequisite: Graduate classification and approval of instructor.",
WMHS,691,"Research.  Credit 1 or more each semester. Research toward thesis or dissertation.",
WMHS,691,"Research.  Credit 1 or more each semester. Research toward thesis or dissertation.",
WGST,200,"Introduction to Womens and Gender Studies. (3-0). Credit 3. Historical and cross-cultural perspectives on womens roles in culture, the workplace, the family and other socio-political institutions; the social construction of gender; sexuality and racism; social control mechanisms and ideologies.",
WGST,207,"Introduction to Gender and Society. (3-0). Credit 3.  Similarities and differences between females and males in a number of cultures throughout the world; sociological analysis of gender in relation to social structure. Cross-listed with SOCI 207.",
WGST,210,"Psychological Aspects of Human Sexuality. (3-0). Credit 3. Interface between human sexuality, reproductive development and gender roles across the lifespan; theoretical and research literature promotes understanding of hormonal influences, learning processes, cultural differences, sexual response and love and attraction. Prerequisite: PBSI 107. Cross-listed with PBSI 210.",
WGST,213,"Gender and Health. (3-0). Credit 3. An examination of social and historical context of health in the U.S., including inequities in health by gender, race, class and gendered issues in health professions. Cross-listed with SOCI 213.",
WGST,300,"Psychology of Women. (3-0). Credit 3. Theoretical and research literature relevant to psychological assumptions about the female personality; challenges to and verification of these assumptions by recent experimental studies. Prerequisite: PBSI 107. Cross-listed with PBSI 300.",
WGST,315,"The Marriage Institution. (3-0). Credit 3. Courtship, engagement, marriage, family formation, personal adjustment, conflict, financing and child rearing. Prerequisite: Junior or senior classification. Cross-listed with SOCI 315.",
WGST,316,"Sociology of Gender. (3-0). Credit 3. Sociological explanations of status differences between men and women; cross-cultural comparisons; gender role socialization, cultural stereotypes, discrimination; gender roles and status in the family, economy, religion, science, other social institutions; deviance, victimization and gender; recent social changes. Cross-listed with SOCI 316.",
WGST,320,"Feminist Inquiry and Research Methods. (3-0). Credit 3. Interdisciplinary exploration of feminist research methods and inquiry in the humanities, social sciences and sciences; ethical approaches to research; questions of epistemology; feminist research design. Prerequisites: WGST 200.",
WGST,330,"Women in Ancient Greece and Rome. (3-0). Credit 3. Survey of women in classical Greece and Rome; emphases on female occupations and family relationships, legal and political status, traditional values, notorious women, how women were viewed and how they viewed themselves. Prerequisite: Junior or senior classification. Cross-listed with CLAS 330 and HIST 330.",
WGST,333,"Lesbian, Gay, Bisexual, Transgender and Queer Literatures. (3-0). Credit 3.  Representations of sexuality and gender from classical times to the present, studied in their historical and cultural contexts. Prerequisites: Junior or senior classification. Cross-listed with ENGL 333.",
WGST,342,"The Rhetoric of Gender and Health. (3-0). Credit 3. Study of field of rhetoric of health and medicine with specific attention to the study of gender, including issues in reproduction, expertise and illness; range of methods and methodological approaches within the field. Prerequisite: Junior or senior classification. Cross-listed with ENGL 342 and COMM 342.",
WGST,374,"Women Writers. (3-0). Credit 3. History of literature by women in English; emphasis on continuity of ideas and on literary contributions; study of a variety of genres with particular attention to the significance of gender in the racial, social, sexual and cultural contexts of women writing in English. Prerequisite: Junior or senior classification; ENGL-374 also taught at Galveston campus. Cross-listed with ENGL 374.",
WGST,377,"Africana Womens History. (3-0). Credit 3. Black women’s history from the precolonial era to the present; emphasis on the cultural, political, legal, economic, sexual, social, and religious factors that shaped their experiences across the African Diaspora and the world. Prerequisites: Junior or senior classification. Cross-listed with AFST 377 and HIST 377.",
WGST,401,"Feminist Theory. (3-0). Credit 3. Inquiry-based examination of feminist theory from various periods and disciplinary perspectives, with application to societal debates and controversies. Prerequisites: WGST 200 or approval of instructor; junior or senior classification.",
WGST,407,"Gender, Race and Media. (3-0). Credit 3. The contributions of women and ethnic groups to the evolution of the media; the portrayal of women and ethnic groups in the mass media; issues resulting from the recognition of women and ethnic groups as media audiences. Prerequisite: Junior or senior classification and approval of instructor. Cross-listed with COMM 407.",
WGST,411,"Representations of Motherhood. (3-0). Credit 3. Examination of understandings of motherhood from a humanities perspective and over a variety of cultures and time periods, as reflected in written, media and/or oral texts. Prerequisites: Junior or senior classification or approval of instructor. Cross-listed with COMM 411.",
WGST,420,"Gender and Communication. (3-0). Credit 3. Survey of the role of gender in communication processes; focus on communication differences between men and women in contexts such as the family, school and work organizations; discussion of media influence in gender stereotypes. Cross-listed with COMM 420.",
